categoria,titulo,url_album,imagem,ordem_imagem
Brasileirao Serie A,Flamengo 26/27 Away Jersey (Version with Sponsor Logos) S-4XL2,https://minkang.x.yupoo.com/albums/252314641?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/86746fe18b/square.jpg,4
Brasileirao Serie A,Juventus 26/27 away jersey S-4XL2,https://minkang.x.yupoo.com/albums/252315379?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/a07ba226b7/large.jpg,1
Brasileirao Serie A,Juventus 26/27 away jersey S-4XL2,https://minkang.x.yupoo.com/albums/252315379?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/7a2c048965/large.jpg,2
Brasileirao Serie A,Juventus 26/27 away jersey S-4XL2,https://minkang.x.yupoo.com/albums/252315379?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/7a2c048965/square.jpg,3
Brasileirao Serie A,Juventus 26/27 away jersey S-4XL2,https://minkang.x.yupoo.com/albums/252315379?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/a07ba226b7/square.jpg,4
Brasileirao Serie A,Nacional 26/27 Home Jersey S-4XL2,https://minkang.x.yupoo.com/albums/252315407?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/a5c51188de/large.jpg,1
Brasileirao Serie A,Nacional 26/27 Home Jersey S-4XL2,https://minkang.x.yupoo.com/albums/252315407?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/2d1fbe4987/large.jpg,2
Brasileirao Serie A,Nacional 26/27 Home Jersey S-4XL2,https://minkang.x.yupoo.com/albums/252315407?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/2d1fbe4987/square.jpg,3
Brasileirao Serie A,Nacional 26/27 Home Jersey S-4XL2,https://minkang.x.yupoo.com/albums/252315407?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/a5c51188de/square.jpg,4
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/266d5ae70c/large.jpg,1
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/fd5bf6d961/large.jpg,2
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/88b303cb01/large.jpg,3
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/625c889051/large.jpg,4
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/aad653ca0c/large.jpg,5
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/33eb418988/large.jpg,6
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/b31a7e9bcb/large.jpg,7
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/747efe07c9/large.jpg,8
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/266d5ae70c/square.jpg,9
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/fd5bf6d961/square.jpg,10
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/88b303cb01/square.jpg,11
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/625c889051/square.jpg,12
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/aad653ca0c/square.jpg,13
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/33eb418988/square.jpg,14
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/b31a7e9bcb/square.jpg,15
Brasileirao Serie A,Flamengo 26/27 Third Away Match Jersey S-4XL8,https://minkang.x.yupoo.com/albums/252342950?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/747efe07c9/square.jpg,16
Brasileirao Serie A,Bahia 26/27 Member Jersey S-4XL7,https://minkang.x.yupoo.com/albums/252343301?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/1459e20b17/large.jpg,1
Brasileirao Serie A,Bahia 26/27 Member Jersey S-4XL7,https://minkang.x.yupoo.com/albums/252343301?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/f023e4ef38/large.jpg,2
Brasileirao Serie A,Bahia 26/27 Member Jersey S-4XL7,https://minkang.x.yupoo.com/albums/252343301?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/a436703556/large.jpg,3
Brasileirao Serie A,Bahia 26/27 Member Jersey S-4XL7,https://minkang.x.yupoo.com/albums/252343301?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/57062d5bac/large.jpg,4
Brasileirao Serie A,Bahia 26/27 Member Jersey S-4XL7,https://minkang.x.yupoo.com/albums/252343301?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/3e03609dcc/large.jpg,5
Brasileirao Serie A,Bahia 26/27 Member Jersey S-4XL7,https://minkang.x.yupoo.com/albums/252343301?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/1b09caebeb/large.jpg,6
Brasileirao Serie A,Bahia 26/27 Member Jersey S-4XL7,https://minkang.x.yupoo.com/albums/252343301?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/58d8c287ef/large.jpg,7
Brasileirao Serie A,Bahia 26/27 Member Jersey S-4XL7,https://minkang.x.yupoo.com/albums/252343301?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/f023e4ef38/square.jpg,8
Brasileirao Serie A,Bahia 26/27 Member Jersey S-4XL7,https://minkang.x.yupoo.com/albums/252343301?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/1459e20b17/square.jpg,9
Brasileirao Serie A,Bahia 26/27 Member Jersey S-4XL7,https://minkang.x.yupoo.com/albums/252343301?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/a436703556/square.jpg,10
Brasileirao Serie A,Bahia 26/27 Member Jersey S-4XL7,https://minkang.x.yupoo.com/albums/252343301?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/57062d5bac/square.jpg,11
Brasileirao Serie A,Bahia 26/27 Member Jersey S-4XL7,https://minkang.x.yupoo.com/albums/252343301?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/3e03609dcc/square.jpg,12
Brasileirao Serie A,Bahia 26/27 Member Jersey S-4XL7,https://minkang.x.yupoo.com/albums/252343301?uid=1&isSubCate=false&referrercate=680738,https://photo.yupoo.com/minkang/1b09caebeb/square.jpg,13
